=== Optimizer Hyperparameter Tuning: Particle Swarm Optimization ===
Total combinations: 192

103/192 | MAE: 2.961 ± 5.468 | RMSE: 2.961 ± 5.468 | R²: 0.964 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.1}
104/192 | MAE: 1.446 ± 4.504 | RMSE: 1.446 ± 4.504 | R²: 0.979 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.2}
105/192 | MAE: 0.643 ± 0.925 | RMSE: 0.643 ± 0.925 | R²: 0.999 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 1.5, 'max_velocity': 0.3}
106/192 | MAE: 3.776 ± 7.378 | RMSE: 3.776 ± 7.378 | R²: 0.936 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.1}
107/192 | MAE: 1.046 ± 2.969 | RMSE: 1.046 ± 2.969 | R²: 0.991 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.2}
108/192 | MAE: 0.674 ± 1.086 | RMSE: 0.674 ± 1.086 | R²: 0.998 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.3, 'c1': 2.0, 'c2': 2.0, 'max_velocity': 0.3}
109/192 | MAE: 4.229 ± 8.478 | RMSE: 4.229 ± 8.478 | R²: 0.916 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.1}
110/192 | MAE: 1.886 ± 4.769 | RMSE: 1.886 ± 4.769 | R²: 0.975 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.2}
111/192 | MAE: 0.759 ± 1.141 | RMSE: 0.759 ± 1.141 | R²: 0.998 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 1.5, 'max_velocity': 0.3}
112/192 | MAE: 3.895 ± 7.557 | RMSE: 3.895 ± 7.557 | R²: 0.932 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.1}
113/192 | MAE: 1.896 ± 4.620 | RMSE: 1.896 ± 4.620 | R²: 0.977 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.2}
114/192 | MAE: 0.957 ± 2.002 | RMSE: 0.957 ± 2.002 | R²: 0.995 | params: {'n_particles': 40, 'w_max': 0.8, 'w_min': 0.4, 'c1': 1.5, 'c2': 2.0, 'max_velocity': 0.3}
